# Nhalo/bin Mlow Mhigh Mmean
39940 7.64621e+12 8.62811e+12 8.2866296e+12
55168 8.62811e+12 9.82818e+12 9.2028104e+12
51012 9.82818e+12 1.13093e+13 1.0527730e+13
45200 1.13093e+13 1.31568e+13 1.2168150e+13
40433 1.31568e+13 1.54877e+13 1.4244398e+13
34764 1.54877e+13 1.84646e+13 1.6893647e+13
28712 1.84646e+13 2.23173e+13 2.0262018e+13
23226 2.23173e+13 2.73752e+13 2.4616298e+13
18380 2.73752e+13 3.41182e+13 3.0432702e+13
13765 3.41182e+13 4.32578e+13 3.8207283e+13
9509 4.32578e+13 5.58694e+13 4.8778512e+13
6355 5.58694e+13 7.36107e+13 6.3547550e+13
3692 7.36107e+13 9.90922e+13 8.4383661e+13
2016 9.90922e+13 1.36520e+14 1.1430895e+14
919 1.36520e+14 1.92840e+14 1.5918840e+14
500 1.92840e+14 inf 2.5904126e+14
