# Mass[Msun/h]; Mlow; Mhigh; hh-bias; hh-bias_err
8.229220300000000000e+12 7.556700000000000000e+12 8.510500000000000000e+12 1.932458512703599585e+00 1.050238130092198685e-01
9.066245100000000000e+12 8.510500000000000000e+12 9.654490000000000000e+12 2.311884296591093513e+00 7.290746283628052327e-02
1.032065900000000000e+13 9.654490000000000000e+12 1.103690000000000000e+13 2.248191354306325440e+00 7.696188317355769082e-02
1.182175700000000000e+13 1.103690000000000000e+13 1.272080000000000000e+13 2.276764330689919458e+00 7.992565687971057986e-02
1.368936600000000000e+13 1.272080000000000000e+13 1.478920000000000000e+13 2.573381357628166555e+00 9.151671964085601740e-02
1.599278100000000000e+13 1.478920000000000000e+13 1.735290000000000000e+13 2.685291599378337946e+00 9.653224820854737487e-02
1.887324300000000000e+13 1.735290000000000000e+13 2.056060000000000000e+13 3.116028367960381740e+00 1.128412204265327595e-01
2.245233100000000000e+13 2.056060000000000000e+13 2.461490000000000000e+13 3.428408670293670024e+00 1.319491539632927368e-01
2.703711000000000000e+13 2.461490000000000000e+13 2.979410000000000000e+13 3.817931170216423808e+00 1.560451410737082323e-01
3.289414100000000000e+13 2.979410000000000000e+13 3.648610000000000000e+13 4.221479411291150896e+00 1.762844940322063902e-01
4.051788800000000000e+13 3.648610000000000000e+13 4.523730000000000000e+13 4.499196096391363753e+00 2.070190693136126359e-01
5.052063400000000000e+13 4.523730000000000000e+13 5.682840000000000000e+13 5.990623273688675532e+00 2.769755310481528121e-01
6.379500300000000000e+13 5.682840000000000000e+13 7.239070000000000000e+13 6.888093448264111629e+00 3.304806655276552596e-01
8.183405200000000000e+13 7.239070000000000000e+13 9.358750000000000000e+13 8.587211682589247275e+00 4.864145612194438195e-01
1.065130100000000000e+14 9.358750000000000000e+13 1.229030000000000000e+14 1.085248049471210408e+01 6.703619304147736546e-01
1.405213500000000000e+14 1.229030000000000000e+14 1.641080000000000000e+14 1.118219025189054605e+01 8.978571104747529175e-01
1.893549600000000000e+14 1.641080000000000000e+14 2.230310000000000000e+14 1.478015897437220616e+01 1.457501396217727896e+00
2.583439100000000000e+14 2.230310000000000000e+14 3.088410000000000000e+14 1.981113309538544343e+01 2.670476385931423113e+00
3.600494100000000000e+14 3.088410000000000000e+14 4.362500000000000000e+14 2.223142015280233963e+01 5.372030803067250559e+00
6.043122200000000000e+14 4.362500000000000000e+14 inf 3.720931101587520828e+01 1.070285866351704485e+01
