# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
8.152162800000000000e+12 7.442580000000000000e+12 8.370960000000000000e+12 1.103570409890639370e+00 1.850006793510113046e-02
8.891719900000000000e+12 8.370960000000000000e+12 9.473620000000000000e+12 1.119716497843969094e+00 1.238225744719694335e-02
1.010171000000000000e+13 9.473620000000000000e+12 1.079160000000000000e+13 1.130867782754636286e+00 1.295426719597640546e-02
1.154727900000000000e+13 1.079160000000000000e+13 1.237760000000000000e+13 1.161486755300586315e+00 1.408872648044463480e-02
1.329409100000000000e+13 1.237760000000000000e+13 1.429950000000000000e+13 1.198972782253957980e+00 1.469081069754972491e-02
1.541315400000000000e+13 1.429950000000000000e+13 1.664600000000000000e+13 1.244145605818557376e+00 1.426926537782089062e-02
1.801010800000000000e+13 1.664600000000000000e+13 1.953310000000000000e+13 1.293267200421636787e+00 1.581481184887373673e-02
2.121184200000000000e+13 1.953310000000000000e+13 2.311480000000000000e+13 1.311505013544298270e+00 1.665874610926878011e-02
2.522025800000000000e+13 2.311480000000000000e+13 2.759700000000000000e+13 1.397127074808752756e+00 1.791875420032272570e-02
3.025280800000000000e+13 2.759700000000000000e+13 3.325730000000000000e+13 1.473401578679149893e+00 1.784396528630184317e-02
3.661803100000000000e+13 3.325730000000000000e+13 4.047420000000000000e+13 1.548936110098948049e+00 1.993468648236015189e-02
4.477415700000000000e+13 4.047420000000000000e+13 4.976930000000000000e+13 1.647113143966435711e+00 2.174313622372436514e-02
5.537135700000000000e+13 4.976930000000000000e+13 6.186900000000000000e+13 1.741991689492088158e+00 2.456576120250690207e-02
6.918061700000000000e+13 6.186900000000000000e+13 7.779690000000000000e+13 1.868133966208824992e+00 2.619222273905540826e-02
8.739686200000000000e+13 7.779690000000000000e+13 9.901260000000000000e+13 2.024251407558516291e+00 3.279814632067331454e-02
1.119445600000000000e+14 9.901260000000000000e+13 1.276250000000000000e+14 2.236902068578324965e+00 3.612296952703051428e-02
1.450193200000000000e+14 1.276250000000000000e+14 1.667180000000000000e+14 2.468017929687742029e+00 4.390851389734451438e-02
1.906552500000000000e+14 1.667180000000000000e+14 2.208740000000000000e+14 2.652024597650623594e+00 4.894115278928022617e-02
2.539204500000000000e+14 2.208740000000000000e+14 2.969880000000000000e+14 2.951051497395662082e+00 6.703875060077395254e-02
3.434240600000000000e+14 2.969880000000000000e+14 4.056080000000000000e+14 3.451364456443273276e+00 8.607736547347653866e-02
4.715592200000000000e+14 4.056080000000000000e+14 5.631210000000000000e+14 3.785907898301520191e+00 1.270197917604280469e-01
6.550994600000000000e+14 5.631210000000000000e+14 7.954300000000000000e+14 4.439496831446948732e+00 1.842919134497447153e-01
1.088684400000000000e+15 7.954300000000000000e+14 inf 5.335506609567460146e+00 2.513921258802222503e-01
