# Nhalo/bin Mlow Mhigh Mmean
137526 5.41287e+13 6.10193e+13 5.9022912e+13
229902 6.10193e+13 6.94377e+13 6.5025859e+13
216388 6.94377e+13 7.98236e+13 7.4359911e+13
187296 7.98236e+13 9.27732e+13 8.6012018e+13
164515 9.27732e+13 1.09104e+14 1.0046178e+14
139261 1.09104e+14 1.29955e+14 1.1881193e+14
113990 1.29955e+14 1.56932e+14 1.4238218e+14
90452 1.56932e+14 1.92337e+14 1.7301221e+14
68265 1.92337e+14 2.39527e+14 2.1356314e+14
48563 2.39527e+14 3.03480e+14 2.6771307e+14
32034 3.03480e+14 3.91723e+14 3.4169213e+14
19058 3.91723e+14 5.15865e+14 4.4437533e+14
10141 5.15865e+14 6.94198e+14 5.8937390e+14
4489 6.94198e+14 9.56222e+14 7.9725110e+14
1579 9.56222e+14 1.35070e+15 1.1004557e+15
499 1.35070e+15 inf 1.6719166e+15
