# Mass[Msun/h]; Mlow; Mhigh; bias; bias_err
7.046900e+12 6.294690e+12 7.063880e+12 1.889907e+00 9.927006e-02
7.503895e+12 7.063880e+12 7.992210e+12 1.900628e+00 2.042725e-02
8.518387e+12 7.992210e+12 9.122140e+12 1.968532e+00 2.121529e-02
9.776908e+12 9.122140e+12 1.051000e+13 2.052958e+00 2.260587e-02
1.133549e+13 1.051000e+13 1.223140e+13 2.119953e+00 2.391659e-02
1.325194e+13 1.223140e+13 1.438870e+13 2.219825e+00 2.575130e-02
1.566254e+13 1.438870e+13 1.712290e+13 2.336204e+00 2.759730e-02
1.874074e+13 1.712290e+13 2.062990e+13 2.458703e+00 3.063728e-02
2.271247e+13 2.062990e+13 2.518600e+13 2.602610e+00 3.392827e-02
2.794751e+13 2.518600e+13 3.118700e+13 2.788144e+00 3.790499e-02
3.483469e+13 3.118700e+13 3.920810e+13 2.983744e+00 4.396254e-02
4.408052e+13 3.920810e+13 5.009960e+13 3.230220e+00 5.225707e-02
5.669546e+13 5.009960e+13 6.514020e+13 3.531804e+00 6.275111e-02
7.427991e+13 6.514020e+13 8.628930e+13 3.896402e+00 8.009785e-02
9.930627e+13 8.628930e+13 1.166090e+14 4.262335e+00 1.067477e-01
1.352541e+14 1.166090e+14 1.609870e+14 4.809202e+00 1.452915e-01
1.876179e+14 1.609870e+14 2.274000e+14 5.367596e+00 2.282696e-01
3.033866e+14 2.274000e+14 inf 6.810794e+00 3.579644e-01
