# Nhalo/bin Mlow Mhigh Mmean
71815 6.58023e+12 7.41496e+12 7.0790503e+12
84200 7.41496e+12 8.40508e+12 7.8999377e+12
80440 8.40508e+12 9.58664e+12 8.9776147e+12
74613 9.58664e+12 1.10057e+13 1.0274229e+13
67421 1.10057e+13 1.27213e+13 1.1825001e+13
63250 1.27213e+13 1.48101e+13 1.3704073e+13
57652 1.48101e+13 1.73719e+13 1.6025150e+13
51098 1.73719e+13 2.05384e+13 1.8872362e+13
45968 2.05384e+13 2.44838e+13 2.2388254e+13
40607 2.44838e+13 2.94420e+13 2.6817919e+13
35440 2.94420e+13 3.57286e+13 3.2392467e+13
30556 3.57286e+13 4.37745e+13 3.9495141e+13
25909 4.37745e+13 5.41738e+13 4.8564182e+13
21537 5.41738e+13 6.77539e+13 6.0401119e+13
17514 6.77539e+13 8.56808e+13 7.5974611e+13
13766 8.56808e+13 1.09616e+14 9.6690950e+13
10713 1.09616e+14 1.41957e+14 1.2418917e+14
7943 1.41957e+14 1.86205e+14 1.6192064e+14
5740 1.86205e+14 2.47545e+14 2.1330680e+14
3918 2.47545e+14 3.33759e+14 2.8477660e+14
2395 3.33759e+14 4.56697e+14 3.8670241e+14
1421 4.56697e+14 6.34688e+14 5.2931489e+14
774 6.34688e+14 8.96520e+14 7.4189724e+14
500 8.96520e+14 inf 1.2736855e+15
