# M nu b b_e b_emu pd pd_e box snap
1.582895e+11 2.855133e+00 4.524221e+00 1.843644e-01 4.647894e+00 -2.660827e-02 3.966622e-02 11 0
3.491703e+11 3.164448e+00 5.449987e+00 2.488444e-01 5.586432e+00 -2.442435e-02 4.454442e-02 11 0
8.874378e+11 3.601702e+00 7.101131e+00 4.995845e-01 7.057292e+00 6.211867e-03 7.078983e-02 11 0
2.574794e+12 4.225846e+00 9.975998e+00 1.494764e+00 9.432772e+00 5.758918e-02 1.584650e-01 11 0
1.444082e+11 1.911987e+00 2.308895e+00 5.205051e-02 2.304252e+00 2.014640e-03 2.258889e-02 11 1
2.757668e+11 2.077643e+00 2.649271e+00 5.972141e-02 2.630207e+00 7.248030e-03 2.270597e-02 11 1
6.711218e+11 2.344907e+00 3.207951e+00 6.689220e-02 3.216752e+00 -2.735810e-03 2.079495e-02 11 1
1.691688e+12 2.683591e+00 4.084488e+00 1.247886e-01 4.059623e+00 6.124865e-03 3.073897e-02 11 1
4.450655e+12 3.124922e+00 5.212327e+00 2.596704e-01 5.311300e+00 -1.863448e-02 4.889017e-02 11 1
1.257221e+13 3.732368e+00 8.736936e+00 8.330076e-01 7.293743e+00 1.978673e-01 1.142085e-01 11 1
1.445118e+11 1.469227e+00 1.527373e+00 2.480801e-02 1.556607e+00 -1.878020e-02 1.593724e-02 11 2
2.759194e+11 1.596494e+00 1.702423e+00 2.912981e-02 1.733112e+00 -1.770769e-02 1.680780e-02 11 2
6.623224e+11 1.798391e+00 1.990830e+00 3.704969e-02 2.055179e+00 -3.131099e-02 1.802747e-02 11 2
1.654553e+12 2.055056e+00 2.484102e+00 4.456032e-02 2.531512e+00 -1.872785e-02 1.760226e-02 11 2
4.255226e+12 2.383511e+00 3.236717e+00 7.244264e-02 3.238232e+00 -4.677488e-04 2.237105e-02 11 2
1.128856e+13 2.813383e+00 4.393777e+00 1.635469e-01 4.309571e+00 1.953920e-02 3.794969e-02 11 2
3.231071e+13 3.418963e+00 5.996862e+00 5.421206e-01 6.068395e+00 -1.178780e-02 8.933508e-02 11 2
1.600778e+11 1.023289e+00 9.720156e-01 1.462160e-02 9.129944e-01 6.464575e-02 1.601500e-02 11 3
3.450352e+11 1.130734e+00 1.066866e+00 1.514417e-02 1.016194e+00 4.986387e-02 1.490283e-02 11 3
8.261381e+11 1.275867e+00 1.225753e+00 1.836142e-02 1.276917e+00 -4.006877e-02 1.437949e-02 11 3
2.044444e+12 1.459268e+00 1.451866e+00 2.368080e-02 1.483254e+00 -2.116144e-02 1.596544e-02 11 3
