# M nu b b_e b_emu pd pd_e box snap
5.856128e+13 4.130096e+00 9.253476e+00 4.926226e-01 9.158346e+00 1.038734e-02 5.378947e-02 0 1
6.920765e+13 4.275284e+00 9.916519e+00 2.753103e-01 9.908012e+00 8.586932e-04 2.778664e-02 0 1
1.044797e+14 4.665941e+00 1.158429e+01 5.499107e-01 1.156132e+01 1.986685e-03 4.756471e-02 0 1
5.818313e+13 2.831687e+00 4.883140e+00 6.047679e-02 4.792326e+00 1.894990e-02 1.261950e-02 0 2
6.357811e+13 2.883887e+00 5.086744e+00 3.576083e-02 5.016978e+00 1.390599e-02 7.127963e-03 0 2
7.397597e+13 2.976292e+00 5.365667e+00 3.977735e-02 5.294192e+00 1.350080e-02 7.513394e-03 0 2
8.787881e+13 3.086574e+00 5.696451e+00 4.840663e-02 5.639553e+00 1.008921e-02 8.583417e-03 0 2
1.074751e+14 3.222995e+00 6.214259e+00 5.945276e-02 6.074557e+00 2.299782e-02 9.787175e-03 0 2
1.358936e+14 3.393026e+00 6.743913e+00 7.548852e-02 6.629339e+00 1.728281e-02 1.138704e-02 0 2
1.781935e+14 3.605599e+00 7.515108e+00 1.154066e-01 7.346816e+00 2.290680e-02 1.570838e-02 0 2
2.417933e+14 3.868061e+00 8.390106e+00 1.846570e-01 8.288896e+00 1.221035e-02 2.227763e-02 0 2
3.682966e+14 4.275586e+00 1.001228e+01 3.999575e-01 9.777428e+00 2.401982e-02 4.090621e-02 0 2
5.819307e+13 2.646044e+00 4.376547e+00 4.576769e-02 4.277222e+00 2.322195e-02 1.070033e-02 0 3
6.334343e+13 2.692667e+00 4.533386e+00 2.769503e-02 4.472790e+00 1.354773e-02 6.191891e-03 0 3
7.318998e+13 2.774853e+00 4.782000e+00 3.018192e-02 4.709616e+00 1.536936e-02 6.408573e-03 0 3
8.630320e+13 2.873041e+00 5.090778e+00 3.455278e-02 4.998783e+00 1.840354e-02 6.912239e-03 0 3
1.042769e+14 2.991959e+00 5.419783e+00 4.118344e-02 5.355186e+00 1.206254e-02 7.690385e-03 0 3
1.292861e+14 3.135742e+00 5.995675e+00 5.136363e-02 5.799134e+00 3.389156e-02 8.857121e-03 0 3
1.649842e+14 3.310908e+00 6.531499e+00 7.347871e-02 6.358715e+00 2.717277e-02 1.155559e-02 0 3
2.177533e+14 3.527469e+00 7.258457e+00 1.022050e-01 7.073326e+00 2.617312e-02 1.444935e-02 0 3
2.980578e+14 3.797047e+00 8.111406e+00 1.772153e-01 7.998833e+00 1.407366e-02 2.215515e-02 0 3
4.513900e+14 4.199310e+00 9.893736e+00 3.950039e-01 9.447134e+00 4.727377e-02 4.181203e-02 0 3
5.832795e+13 2.465376e+00 3.917334e+00 3.371757e-02 3.815266e+00 2.675264e-02 8.837542e-03 0 4
6.364480e+13 2.510087e+00 4.011066e+00 2.114978e-02 3.987397e+00 5.935887e-03 5.304155e-03 0 4
7.351649e+13 2.586573e+00 4.242622e+00 2.314959e-02 4.192652e+00 1.191860e-02 5.521468e-03 0 4
8.632151e+13 2.675723e+00 4.490650e+00 2.627876e-02 4.439178e+00 1.159486e-02 5.919736e-03 0 4
1.032132e+14 2.780180e+00 4.824515e+00 2.892264e-02 4.737687e+00 1.832706e-02 6.104801e-03 0 4
1.263246e+14 2.905384e+00 5.165630e+00 3.728367e-02 5.102430e+00 1.238621e-02 7.307042e-03 0 4
1.584476e+14 3.055459e+00 5.673099e+00 4.843570e-02 5.552629e+00 2.169596e-02 8.723020e-03 0 4
2.043857e+14 3.237423e+00 6.303291e+00 6.576734e-02 6.114542e+00 3.086895e-02 1.075589e-02 0 4
2.709644e+14 3.457152e+00 6.881882e+00 9.630548e-02 6.824438e+00 8.417458e-03 1.411186e-02 0 4
3.708775e+14 3.726901e+00 7.844737e+00 1.663036e-01 7.732965e+00 1.445397e-02 2.150580e-02 0 4
5.603847e+14 4.127838e+00 9.581425e+00 3.445477e-01 9.139262e+00 4.838059e-02 3.769973e-02 0 4
5.846595e+13 2.289522e+00 3.441015e+00 2.459740e-02 3.388105e+00 1.561641e-02 7.259928e-03 0 5
6.395529e+13 2.332260e+00 3.572003e+00 1.700296e-02 3.538400e+00 9.496402e-03 4.805267e-03 0 5
7.367442e+13 2.401989e+00 3.746637e+00 1.698292e-02 3.715443e+00 8.395683e-03 4.570901e-03 0 5
8.614368e+13 2.482571e+00 3.964595e+00 2.032157e-02 3.925324e+00 1.000446e-02 5.177044e-03 0 5
1.022329e+14 2.575307e+00 4.215124e+00 2.341319e-02 4.175897e+00 9.393630e-03 5.606744e-03 0 5
1.238415e+14 2.685093e+00 4.543007e+00 2.700677e-02 4.477413e+00 1.464990e-02 6.031780e-03 0 5
1.534297e+14 2.815742e+00 4.911400e+00 3.388887e-02 4.843399e+00 1.404003e-02 6.996919e-03 0 5
1.940717e+14 2.969565e+00 5.407802e+00 4.290915e-02 5.291902e+00 2.190138e-02 8.108455e-03 0 5
2.518063e+14 3.154147e+00 6.016191e+00 6.024713e-02 5.847292e+00 2.888491e-02 1.030342e-02 0 5
3.363677e+14 3.378659e+00 6.725163e+00 8.940393e-02 6.542846e+00 2.786504e-02 1.366438e-02 0 5
4.618066e+14 3.650575e+00 7.771260e+00 1.598151e-01 7.424352e+00 4.672576e-02 2.152580e-02 0 5
6.973419e+14 4.051155e+00 9.014920e+00 3.223182e-01 8.777446e+00 2.705503e-02 3.672118e-02 0 5
5.887412e+13 2.121821e+00 3.046898e+00 1.864571e-02 3.006286e+00 1.350903e-02 6.202243e-03 0 6
6.482836e+13 2.164411e+00 3.148361e+00 1.384086e-02 3.137911e+00 3.330021e-03 4.410850e-03 0 6
7.444912e+13 2.227753e+00 3.306570e+00 1.459120e-02 3.291385e+00 4.613511e-03 4.433147e-03 0 6
8.661562e+13 2.300116e+00 3.507269e+00 1.563423e-02 3.471343e+00 1.034926e-02 4.503800e-03 0 6
1.023632e+14 2.383922e+00 3.695770e+00 1.732899e-02 3.683659e+00 3.287788e-03 4.704286e-03 0 6
1.231408e+14 2.481772e+00 3.978912e+00 2.039926e-02 3.935866e+00 1.093702e-02 5.182917e-03 0 6
1.508495e+14 2.595902e+00 4.290185e+00 2.515058e-02 4.237710e+00 1.238296e-02 5.934947e-03 0 6
1.884457e+14 2.729715e+00 4.637312e+00 3.047863e-02 4.601929e+00 7.688818e-03 6.623011e-03 0 6
2.406226e+14 2.888096e+00 5.134269e+00 4.147725e-02 5.045375e+00 1.761899e-02 8.220846e-03 0 6
3.145411e+14 3.076786e+00 5.715545e+00 5.821564e-02 5.590547e+00 2.235890e-02 1.041323e-02 0 6
4.212729e+14 3.302624e+00 6.482323e+00 8.788184e-02 6.267757e+00 3.423325e-02 1.402126e-02 0 6
5.807862e+14 3.578014e+00 7.379746e+00 1.509285e-01 7.118159e+00 3.674923e-02 2.120330e-02 0 6
8.741818e+14 3.976177e+00 8.775426e+00 3.051860e-01 8.410344e+00 4.340864e-02 3.628698e-02 0 6
5.914586e+13 1.960725e+00 2.685665e+00 1.358722e-02 2.665618e+00 7.520601e-03 5.097212e-03 0 7
6.553816e+13 2.002705e+00 2.771224e+00 1.097066e-02 2.780914e+00 -3.484263e-03 3.944984e-03 0 7
7.533329e+13 2.061769e+00 2.924503e+00 1.191703e-02 2.914186e+00 3.540029e-03 4.089317e-03 0 7
8.748678e+13 2.127998e+00 3.058253e+00 1.325038e-02 3.069000e+00 -3.501873e-03 4.317490e-03 0 7
1.029993e+14 2.203789e+00 3.261228e+00 1.323000e-02 3.249805e+00 3.514963e-03 4.071012e-03 0 7
1.232778e+14 2.291738e+00 3.486529e+00 1.678680e-02 3.462211e+00 7.023657e-03 4.848578e-03 0 7
1.499411e+14 2.393310e+00 3.752728e+00 1.835672e-02 3.713351e+00 1.060398e-02 4.943438e-03 0 7
1.853749e+14 2.510657e+00 4.009315e+00 2.266756e-02 4.012372e+00 -7.620648e-04 5.649416e-03 0 7
2.332688e+14 2.647084e+00 4.446805e+00 2.911033e-02 4.371138e+00 1.731066e-02 6.659669e-03 0 7
3.001081e+14 2.808832e+00 4.925264e+00 3.758954e-02 4.805173e+00 2.499212e-02 7.822723e-03 0 7
3.947149e+14 3.000737e+00 5.418910e+00 5.382053e-02 5.334965e+00 1.573494e-02 1.008826e-02 0 7
5.312790e+14 3.229860e+00 6.189194e+00 8.418527e-02 5.987778e+00 3.363793e-02 1.405952e-02 0 7
7.323237e+14 3.505142e+00 7.126237e+00 1.494136e-01 6.800095e+00 4.796142e-02 2.197229e-02 0 7
1.108496e+15 3.910094e+00 8.366411e+00 2.865252e-01 8.019250e+00 4.329094e-02 3.572967e-02 0 7
5.968342e+13 1.811045e+00 2.344530e+00 9.992447e-03 2.364263e+00 -8.346326e-03 4.226454e-03 0 8
6.670883e+13 1.853180e+00 2.444662e+00 8.985893e-03 2.465421e+00 -8.419957e-03 3.644770e-03 0 8
7.646718e+13 1.906813e+00 2.563535e+00 9.884417e-03 2.581455e+00 -6.941823e-03 3.829010e-03 0 8
8.866648e+13 1.967500e+00 2.676873e+00 1.108844e-02 2.715120e+00 -1.408661e-02 4.083960e-03 0 8
1.042202e+14 2.036951e+00 2.853925e+00 1.195628e-02 2.869808e+00 -5.534694e-03 4.166228e-03 0 8
1.241375e+14 2.116081e+00 3.023901e+00 1.247352e-02 3.049722e+00 -8.466547e-03 4.090050e-03 0 8
1.498459e+14 2.206186e+00 3.258873e+00 1.450859e-02 3.260120e+00 -3.822647e-04 4.450326e-03 0 8
1.837972e+14 2.310185e+00 3.517028e+00 1.770843e-02 3.507631e+00 2.678841e-03 5.048543e-03 0 8
2.293386e+14 2.430841e+00 3.818998e+00 2.153843e-02 3.800681e+00 4.819456e-03 5.666992e-03 0 8
2.910469e+14 2.570775e+00 4.160772e+00 2.720879e-02 4.150088e+00 2.574172e-03 6.556195e-03 0 8
3.770210e+14 2.735760e+00 4.644492e+00 3.504110e-02 4.569845e+00 1.633464e-02 7.667897e-03 0 8
4.978097e+14 2.929643e+00 5.234287e+00 5.020339e-02 5.078193e+00 3.073801e-02 9.886074e-03 0 8
6.722497e+14 3.161061e+00 5.833168e+00 7.965551e-02 5.699073e+00 2.352926e-02 1.397692e-02 0 8
9.293379e+14 3.439342e+00 6.725013e+00 1.393670e-01 6.464035e+00 4.037384e-02 2.156037e-02 0 8
1.410844e+15 3.849236e+00 8.021045e+00 2.614240e-01 7.593518e+00 5.630165e-02 3.442727e-02 0 8
5.902291e+13 1.711643e+00 2.144249e+00 1.040612e-02 2.159627e+00 -7.120695e-03 4.818478e-03 0 9
6.502586e+13 1.746195e+00 2.224331e+00 8.430834e-03 2.249201e+00 -1.105697e-02 3.748369e-03 0 9
7.435991e+13 1.795714e+00 2.316995e+00 8.512663e-03 2.351305e+00 -1.459189e-02 3.620399e-03 0 9
8.601202e+13 1.851755e+00 2.441976e+00 8.735172e-03 2.468125e+00 -1.059445e-02 3.539194e-03 0 9
1.004618e+14 1.914322e+00 2.552044e+00 9.911871e-03 2.602314e+00 -1.931718e-02 3.808869e-03 0 9
1.188119e+14 1.985342e+00 2.711730e+00 1.118818e-02 2.757125e+00 -1.646438e-02 4.057916e-03 0 9
1.423822e+14 2.066203e+00 2.898313e+00 1.247216e-02 2.936568e+00 -1.302718e-02 4.247190e-03 0 9
1.730122e+14 2.158550e+00 3.135728e+00 1.429483e-02 3.145618e+00 -3.144108e-03 4.544362e-03 0 9
2.135631e+14 2.264994e+00 3.363196e+00 1.670382e-02 3.390509e+00 -8.055521e-03 4.926641e-03 0 9
2.677131e+14 2.387570e+00 3.700878e+00 2.107312e-02 3.679112e+00 5.916060e-03 5.727774e-03 0 9
3.416921e+14 2.530521e+00 4.049241e+00 2.587611e-02 4.021447e+00 6.911253e-03 6.434527e-03 0 9
4.443753e+14 2.698051e+00 4.461969e+00 3.618323e-02 4.430369e+00 7.132689e-03 8.167091e-03 0 9
5.893739e+14 2.895585e+00 5.068245e+00 4.852862e-02 4.922471e+00 2.961383e-02 9.858590e-03 0 9
7.972511e+14 3.129458e+00 5.629539e+00 7.713692e-02 5.519289e+00 1.997536e-02 1.397588e-02 0 9
1.100456e+15 3.408159e+00 6.596200e+00 1.445993e-01 6.248867e+00 5.558332e-02 2.314008e-02 0 9
1.671917e+15 3.822002e+00 7.750205e+00 2.667542e-01 7.308405e+00 6.045098e-02 3.649965e-02 0 9
5.314698e+13 3.811896e+00 7.821484e+00 2.636663e-01 7.630614e+00 2.501366e-02 3.455375e-02 1 1
5.850675e+13 3.887195e+00 8.111313e+00 1.323998e-01 8.044265e+00 8.334860e-03 1.645890e-02 1 1
7.156532e+13 4.052203e+00 8.702379e+00 1.645336e-01 8.664316e+00 4.393076e-03 1.898979e-02 1 1
9.440127e+13 4.295912e+00 9.536267e+00 2.413396e-01 9.611431e+00 -7.820280e-03 2.510965e-02 1 1
1.412304e+14 4.689384e+00 1.109737e+01 4.623085e-01 1.127141e+01 -1.544003e-02 4.101604e-02 1 1
5.353512e+13 2.629862e+00 3.832603e+00 3.354206e-02 3.872829e+00 -1.038669e-02 8.660868e-03 1 2
5.844651e+13 2.677293e+00 4.043376e+00 2.181840e-02 4.050322e+00 -1.714726e-03 5.386831e-03 1 2
6.735091e+13 2.756566e+00 4.210238e+00 2.477055e-02 4.262213e+00 -1.219429e-02 5.811664e-03 1 2
7.908226e+13 2.850467e+00 4.484252e+00 2.569955e-02 4.517054e+00 -7.261825e-03 5.689448e-03 1 2
9.471916e+13 2.961545e+00 4.846459e+00 3.091952e-02 4.826118e+00 4.214775e-03 6.406706e-03 1 2
1.159711e+14 3.093667e+00 5.188123e+00 3.685374e-02 5.204458e+00 -3.138760e-03 7.081186e-03 1 2
1.453051e+14 3.250931e+00 5.611793e+00 4.657698e-02 5.672451e+00 -1.069348e-02 8.211084e-03 1 2
1.873466e+14 3.442062e+00 6.232362e+00 6.645252e-02 6.258057e+00 -4.105900e-03 1.061872e-02 1 2
2.485668e+14 3.673834e+00 7.038435e+00 1.000131e-01 7.000101e+00 5.476318e-03 1.428738e-02 1 2
3.404547e+14 3.958150e+00 7.755319e+00 1.716747e-01 7.953113e+00 -2.486999e-02 2.158585e-02 1 2
5.121568e+14 4.374821e+00 9.539678e+00 3.201210e-01 9.441325e+00 1.041728e-02 3.390636e-02 1 2
5.352868e+13 2.459978e+00 3.455848e+00 2.810135e-02 3.436899e+00 5.513203e-03 8.176367e-03 1 3
5.832982e+13 2.503383e+00 3.566544e+00 1.703348e-02 3.590934e+00 -6.792075e-03 4.743467e-03 1 3
6.698729e+13 2.575671e+00 3.767226e+00 1.879960e-02 3.772686e+00 -1.447028e-03 4.983081e-03 1 3
7.824811e+13 2.660465e+00 3.943735e+00 2.138719e-02 3.988557e+00 -1.123765e-02 5.362136e-03 1 3
9.292725e+13 2.759032e+00 4.231644e+00 2.384430e-02 4.246846e+00 -3.579638e-03 5.614590e-03 1 3
1.125708e+14 2.875236e+00 4.542288e+00 2.779790e-02 4.558414e+00 -3.537633e-03 6.098153e-03 1 3
1.392908e+14 3.012628e+00 4.875759e+00 3.417037e-02 4.937658e+00 -1.253620e-02 6.920360e-03 1 3
1.759573e+14 3.174313e+00 5.360005e+00 4.329074e-02 5.403925e+00 -8.127402e-03 8.010981e-03 1 3
2.281982e+14 3.368932e+00 6.023502e+00 5.919070e-02 5.983493e+00 6.686524e-03 9.892331e-03 1 3
3.050986e+14 3.606693e+00 6.787813e+00 9.398261e-02 6.712458e+00 1.122620e-02 1.400122e-02 1 3
4.181637e+14 3.892047e+00 7.402799e+00 1.531177e-01 7.640925e+00 -3.116456e-02 2.003915e-02 1 3
6.337465e+14 4.318306e+00 9.018772e+00 3.161056e-01 9.085231e+00 -7.315067e-03 3.479334e-02 1 3
5.366080e+13 2.295207e+00 3.080333e+00 2.070651e-02 3.048466e+00 1.045347e-02 6.792436e-03 1 4
5.871504e+13 2.337682e+00 3.162467e+00 1.372919e-02 3.183006e+00 -6.452799e-03 4.313277e-03 1 4
6.742291e+13 2.405176e+00 3.330091e+00 1.532296e-02 3.340204e+00 -3.027562e-03 4.587432e-03 1 4
7.844326e+13 2.482323e+00 3.499010e+00 1.602696e-02 3.524959e+00 -7.361418e-03 4.546709e-03 1 4
9.266448e+13 2.571390e+00 3.721484e+00 1.817061e-02 3.743517e+00 -5.885622e-03 4.853887e-03 1 4
1.113478e+14 2.674964e+00 3.998762e+00 2.102074e-02 4.003915e+00 -1.286962e-03 5.250045e-03 1 4
1.362895e+14 2.795938e+00 4.303276e+00 2.615510e-02 4.316624e+00 -3.092212e-03 6.059156e-03 1 4
1.701716e+14 2.937951e+00 4.650368e+00 3.091250e-02 4.695423e+00 -9.595508e-03 6.583540e-03 1 4
2.171433e+14 3.105856e+00 5.148370e+00 4.045567e-02 5.158646e+00 -1.991908e-03 7.842304e-03 1 4
2.836886e+14 3.305882e+00 5.742468e+00 5.794124e-02 5.730992e+00 2.002536e-03 1.011016e-02 1 4
3.802038e+14 3.546219e+00 6.497762e+00 8.721339e-02 6.446042e+00 8.023492e-03 1.352976e-02 1 4
5.211216e+14 3.832892e+00 7.159388e+00 1.504391e-01 7.349842e+00 -2.591267e-02 2.046835e-02 1 4
7.902873e+14 4.262615e+00 8.711981e+00 3.046110e-01 8.747998e+00 -4.117190e-03 3.482066e-02 1 4
5.390772e+13 2.136110e+00 2.709830e+00 1.567914e-02 2.699138e+00 3.961234e-03 5.808944e-03 1 5
5.925211e+13 2.177668e+00 2.789260e+00 1.059794e-02 2.816430e+00 -9.647242e-03 3.762899e-03 1 5
6.797093e+13 2.240126e+00 2.942829e+00 1.213654e-02 2.952371e+00 -3.231993e-03 4.110776e-03 1 5
7.899862e+13 2.311527e+00 3.089665e+00 1.271307e-02 3.110754e+00 -6.779369e-03 4.086814e-03 1 5
9.301447e+13 2.392843e+00 3.268811e+00 1.472155e-02 3.296347e+00 -8.353500e-03 4.466021e-03 1 5
1.110728e+14 2.485892e+00 3.485879e+00 1.730801e-02 3.515203e+00 -8.342045e-03 4.923758e-03 1 5
1.349338e+14 2.593976e+00 3.746285e+00 1.942248e-02 3.775069e+00 -7.624692e-03 5.144935e-03 1 5
1.666089e+14 2.718768e+00 4.063784e+00 2.296202e-02 4.085956e+00 -5.426400e-03 5.619743e-03 1 5
2.096384e+14 2.864585e+00 4.432648e+00 2.841334e-02 4.460966e+00 -6.347936e-03 6.369324e-03 1 5
2.695732e+14 3.037086e+00 4.900609e+00 3.888436e-02 4.917386e+00 -3.411758e-03 7.907526e-03 1 5
3.546494e+14 3.242240e+00 5.472770e+00 5.660599e-02 5.478292e+00 -1.007961e-03 1.033278e-02 1 5
4.773615e+14 3.486831e+00 6.260661e+00 8.397791e-02 6.174745e+00 1.391405e-02 1.360022e-02 1 5
6.566033e+14 3.778435e+00 6.844978e+00 1.485702e-01 7.048860e+00 -2.892413e-02 2.107720e-02 1 5
9.896050e+14 4.204949e+00 8.283441e+00 2.699791e-01 8.393317e+00 -1.309088e-02 3.216596e-02 1 5
5.441173e+13 1.984816e+00 2.402196e+00 1.150485e-02 2.389012e+00 5.518370e-03 4.815734e-03 1 6
6.030078e+13 2.026883e+00 2.478729e+00 9.647441e-03 2.491211e+00 -5.010633e-03 3.872591e-03 1 6
6.903464e+13 2.084237e+00 2.605989e+00 1.037868e-02 2.608862e+00 -1.100988e-03 3.978240e-03 1 6
8.007323e+13 2.149852e+00 2.723598e+00 1.101358e-02 2.744935e+00 -7.773158e-03 4.012328e-03 1 6
9.411916e+13 2.224766e+00 2.876862e+00 1.147897e-02 2.903115e+00 -9.043316e-03 3.954017e-03 1 6
1.118393e+14 2.308903e+00 3.081370e+00 1.326190e-02 3.088010e+00 -2.150418e-03 4.294641e-03 1 6
1.348355e+14 2.405315e+00 3.249519e+00 1.514050e-02 3.305438e+00 -1.691732e-02 4.580484e-03 1 6
1.652516e+14 2.516801e+00 3.555282e+00 1.789757e-02 3.562797e+00 -2.109337e-03 5.023461e-03 1 6
2.059497e+14 2.645860e+00 3.837926e+00 2.209916e-02 3.869592e+00 -8.183293e-03 5.710980e-03 1 6
2.613832e+14 2.796307e+00 4.228908e+00 2.664466e-02 4.238164e+00 -2.183935e-03 6.286841e-03 1 6
3.378937e+14 2.972069e+00 4.685799e+00 3.611079e-02 4.684675e+00 2.399147e-04 7.708281e-03 1 6
4.469800e+14 3.181563e+00 5.162219e+00 5.386020e-02 5.230493e+00 -1.305316e-02 1.029735e-02 1 6
6.023729e+14 3.428095e+00 5.881609e+00 7.956158e-02 5.904090e+00 -3.807794e-03 1.347567e-02 1 6
8.348164e+14 3.728716e+00 6.799674e+00 1.460223e-01 6.743638e+00 8.309456e-03 2.165335e-02 1 6
1.243048e+15 4.146101e+00 7.774196e+00 2.659126e-01 8.025518e+00 -3.131537e-02 3.313338e-02 1 6
5.466133e+13 1.838956e+00 2.119385e+00 9.087669e-03 2.109266e+00 4.797389e-03 4.308451e-03 1 7
6.084556e+13 1.879650e+00 2.191777e+00 8.336467e-03 2.197343e+00 -2.533258e-03 3.793885e-03 1 7
6.968459e+13 1.933033e+00 2.292650e+00 8.739609e-03 2.298176e+00 -2.404217e-03 3.802846e-03 1 7
8.063847e+13 1.992960e+00 2.416887e+00 9.086341e-03 2.414083e+00 1.161439e-03 3.763889e-03 1 7
9.427915e+13 2.060103e+00 2.535210e+00 9.890132e-03 2.547910e+00 -4.984327e-03 3.881665e-03 1 7
1.117596e+14 2.136908e+00 2.693860e+00 1.108363e-02 2.703167e+00 -3.442939e-03 4.100238e-03 1 7
1.342175e+14 2.224227e+00 2.858872e+00 1.288351e-02 2.884220e+00 -8.788568e-03 4.466897e-03 1 7
1.631502e+14 2.322989e+00 3.059795e+00 1.409437e-02 3.096542e+00 -1.186725e-02 4.551649e-03 1 7
2.016176e+14 2.437236e+00 3.319139e+00 1.657269e-02 3.347060e+00 -8.342149e-03 4.951418e-03 1 7
2.530805e+14 2.568905e+00 3.608898e+00 2.057215e-02 3.644613e+00 -9.799541e-03 5.644536e-03 1 7
3.230257e+14 2.721573e+00 3.985711e+00 2.558274e-02 4.000584e+00 -3.717826e-03 6.394751e-03 1 7
4.201162e+14 2.900462e+00 4.418417e+00 3.382419e-02 4.429758e+00 -2.560084e-03 7.635675e-03 1 7
5.584265e+14 3.113038e+00 4.961760e+00 5.030727e-02 4.951505e+00 2.070982e-03 1.016000e-02 1 7
7.547250e+14 3.362046e+00 5.555841e+00 7.712412e-02 5.591374e+00 -6.354916e-03 1.379341e-02 1 7
1.045480e+15 3.663023e+00 6.427300e+00 1.360744e-01 6.383236e+00 6.902961e-03 2.131747e-02 1 7
1.563388e+15 4.087159e+00 7.569606e+00 2.525972e-01 7.585151e+00 -2.049483e-03 3.330153e-02 1 7
5.491094e+13 1.702420e+00 1.880744e+00 7.706221e-03 1.864515e+00 8.703879e-03 4.133096e-03 1 8
6.138866e+13 1.741656e+00 1.950191e+00 7.171033e-03 1.940344e+00 5.074955e-03 3.695753e-03 1 8
7.022377e+13 1.790722e+00 2.032303e+00 7.550590e-03 2.026729e+00 2.750333e-03 3.725505e-03 1 8
8.117849e+13 1.845875e+00 2.119436e+00 7.952618e-03 2.125484e+00 -2.845202e-03 3.741557e-03 1 8
9.470540e+13 1.907219e+00 2.237977e+00 8.394809e-03 2.238803e+00 -3.693005e-04 3.749686e-03 1 8
1.118231e+14 1.976662e+00 2.364419e+00 9.114891e-03 2.369358e+00 -2.084783e-03 3.846987e-03 1 8
1.336512e+14 2.055262e+00 2.500018e+00 1.035923e-02 2.520427e+00 -8.097522e-03 4.110111e-03 1 8
1.617576e+14 2.144394e+00 2.675834e+00 1.148757e-02 2.696063e+00 -7.503178e-03 4.260870e-03 1 8
1.983931e+14 2.245890e+00 2.887071e+00 1.228599e-02 2.901313e+00 -4.908754e-03 4.234630e-03 1 8
2.468340e+14 2.362139e+00 3.146890e+00 1.569155e-02 3.142510e+00 1.393590e-03 4.993317e-03 1 8
3.119604e+14 2.496301e+00 3.386018e+00 1.934071e-02 3.427676e+00 -1.215346e-02 5.642513e-03 1 8
4.003462e+14 2.651175e+00 3.775067e+00 2.461993e-02 3.767051e+00 2.128083e-03 6.535598e-03 1 8
5.232134e+14 2.832532e+00 4.172498e+00 3.260302e-02 4.173812e+00 -3.147668e-04 7.811329e-03 1 8
6.967578e+14 3.046059e+00 4.703150e+00 5.017906e-02 4.665046e+00 8.167933e-03 1.075639e-02 1 8
9.463283e+14 3.299330e+00 5.369882e+00 7.295445e-02 5.263038e+00 2.030081e-02 1.386166e-02 1 8
1.310287e+15 3.600875e+00 6.171687e+00 1.242171e-01 5.996964e+00 2.913517e-02 2.071333e-02 1 8
1.963147e+15 4.029483e+00 7.045340e+00 2.440447e-01 7.101488e+00 -7.906601e-03 3.436529e-02 1 8
5.404320e+13 1.611369e+00 1.734030e+00 8.401122e-03 1.699163e+00 2.051995e-02 4.944270e-03 1 9
5.929959e+13 1.642151e+00 1.783576e+00 6.614559e-03 1.765187e+00 1.041774e-02 3.747229e-03 1 9
6.750833e+13 1.686584e+00 1.844211e+00 6.916456e-03 1.840085e+00 2.241774e-03 3.758769e-03 1 9
7.778580e+13 1.737154e+00 1.932262e+00 7.162884e-03 1.925306e+00 3.613193e-03 3.720388e-03 1 9
9.043123e+13 1.793325e+00 2.013400e+00 7.418581e-03 2.022578e+00 -4.537951e-03 3.667884e-03 1 9
1.060284e+14 1.855523e+00 2.129668e+00 7.953333e-03 2.133989e+00 -2.024817e-03 3.726979e-03 1 9
1.258902e+14 1.926144e+00 2.258497e+00 8.709822e-03 2.262066e+00 -1.577709e-03 3.850383e-03 1 9
1.512116e+14 2.005806e+00 2.389527e+00 9.712038e-03 2.409892e+00 -8.450522e-03 4.030072e-03 1 9
1.837716e+14 2.095783e+00 2.564932e+00 1.093920e-02 2.581262e+00 -6.326591e-03 4.237927e-03 1 9
2.264427e+14 2.198548e+00 2.771272e+00 1.261286e-02 2.780873e+00 -3.452485e-03 4.535576e-03 1 9
2.831675e+14 2.316571e+00 3.012984e+00 1.529622e-02 3.014582e+00 -5.300277e-04 5.074077e-03 1 9
3.594268e+14 2.452441e+00 3.290596e+00 1.814411e-02 3.289764e+00 2.531070e-04 5.515324e-03 1 9
4.628904e+14 2.608961e+00 3.622610e+00 2.406682e-02 3.615770e+00 1.891632e-03 6.656071e-03 1 9
